Round,Date,Time,Team 1,FT,Team 2,Venue
24,Sat Dec 5 2020,19:00,Bahia,0-2,Ceará,Estádio Governador Roberto Santos
24,Sat Dec 5 2020,21:00,Coritiba,0-0,Bragantino,Estádio Major Antônio Couto Pereira
24,Sun Dec 6 2020,16:00,São Paulo,1-0,Sport Recife,Estádio do Morumbi
24,Sun Dec 6 2020,16:00,Grêmio,4-0,Vasco da Gama,Arena do Grêmio
24,Sun Dec 6 2020,18:15,Atlético Mineiro,2-2,Internacional,Estádio Raimundo Sampaio
24,Mon Dec 7 2020,20:00,Atl Goianiense,0-1,Goiás,Estádio Olímpico Pedro Ludovico Teixeira
18,Wed Dec 9 2020,21:30,São Paulo,4-0,Botafogo (RJ),Estádio do Morumbi
25,Sat Dec 12 2020,17:00,Bragantino,2-1,Fortaleza,Estádio Nabi Abi Chedid
25,Sat Dec 12 2020,17:00,Atl Paranaense,0-1,Atlético Mineiro,Estádio Joaquim Américo Guimarães
25,Sat Dec 12 2020,19:00,Internacional,2-1,Botafogo (RJ),Estádio José Pinheiro Borba
25,Sat Dec 12 2020,19:00,Palmeiras,3-0,Bahia,Allianz Parque
25,Sat Dec 12 2020,21:00,Goiás,0-0,Grêmio,Estádio de Hailé Pinheiro
25,Sat Dec 12 2020,21:00,Ceará,1-2,Atl Goianiense,Estádio Castelão
25,Sun Dec 13 2020,16:00,Flamengo,4-1,Santos,Estadio Jornalista Mário Filho
25,Sun Dec 13 2020,18:15,Sport Recife,1-0,Coritiba,Estádio Adelmar da Costa Carvalho
25,Sun Dec 13 2020,18:15,Corinthians,1-0,São Paulo,Arena Corinthians
25,Sun Dec 13 2020,20:30,Vasco da Gama,1-1,Fluminense,Estádio Club de Regatas Vasco da Gama
26,Wed Dec 16 2020,21:30,Atl Goianiense,2-1,Fluminense,Estádio Olímpico Pedro Ludovico Teixeira
26,Wed Dec 16 2020,21:30,São Paulo,3-0,Atlético Mineiro,Estádio do Morumbi
26,Sat Dec 19 2020,19:00,Sport Recife,1-1,Grêmio,Estádio Adelmar da Costa Carvalho
26,Sat Dec 19 2020,21:00,Coritiba,1-2,Botafogo (RJ),Estádio Major Antônio Couto Pereira
26,Sat Dec 19 2020,21:00,Internacional,2-0,Palmeiras,Estádio José Pinheiro Borba
26,Sun Dec 20 2020,16:00,Vasco da Gama,1-0,Santos,Estádio Club de Regatas Vasco da Gama
26,Sun Dec 20 2020,16:00,Bragantino,0-1,Atl Paranaense,Estádio Nabi Abi Chedid
26,Sun Dec 20 2020,18:15,Flamengo,4-3,Bahia,Estadio Jornalista Mário Filho
26,Sun Dec 20 2020,20:30,Fortaleza,0-2,Ceará,Estádio Castelão
